,classes,relations
001001,[0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 4 0 0 0 0 0],[0 2 1 0 0]
001002,[ 0  0  0  0 12  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0],[0 3 0 0 3]
001008,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0],[1 0 0 0 0]
001010,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1],[1 0 0 0 0]
001011,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1],[0 1 0 0 0]
001014,[0 0 0 0 0 0 0 0 0 3 0 0 6 0 0 3 0 0 0 0 0],[0 3 3 0 0]
001015,[0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 3]
001024,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1],[0 1 0 0 0]
001036,[ 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 20  0  0  0  0  0],[0 4 0 0 6]
001043,[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
001050,[0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0],[0 1 0 0 0]
001057,[0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 4 0 0 0 0 0],[0 0 0 2 1]
001060,[0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 2 0 0 0 0 0],[0 1 0 0 2]
001064,[0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0],[0 1 0 0 0]
001068,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0],[1 0 0 0 0]
001071,[0 0 0 0 0 0 0 4 0 0 0 0 0 8 0 8 0 0 0 0 0],[0 4 0 0 6]
001073,[ 0  0  0  0  0  0  0  0  0  0 30  0  0  0  0  0  0  0  0  0  0],[ 0  4  0  0 11]
001077,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1],[1 0 0 0 0]
001078,[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
001079,[ 0  0  0  0  0  0  0  0  0  0  0  6  0  0  0 30  6  0  0  0  0],[ 0 12  0  0  9]
001082,[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0],[0 0 0 0 1]
001101,[ 0  0  0  0  0  0  0  0  0  0  0  0  0  0  4 16  0  0  0  0  0],[0 4 0 0 6]
001106,[ 0  0  0  0  0  0  0  0  0 16  0  4  0  0  0  0  0  0  0  0  0],[0 6 0 0 4]
001112,[0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 8 0 0 4 0],[0 2 0 0 8]
001113,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0],[0 3 0 0 0]
001119,[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
001127,[0 0 0 0 0 0 0 0 0 0 0 0 9 0 0 0 0 0 3 0 0],[0 2 3 0 1]
001129,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 2 0 0],[0 1 0 1 1]
001130,[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
001140,[0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 2 0 0 0 0 0],[0 1 0 0 2]
001147,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0],[1 0 0 0 0]
001151,[0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 4 0 0 0 0 0],[0 3 0 0 0]
001152,[0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 9 0 0 0 0 0],[0 0 0 3 3]
001156,[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
001158,[0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 1]
001168,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0],[0 1 0 0 0]
001171,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 9 0 0 0 0 0],[0 2 0 0 4]
001172,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0],[1 0 0 0 0]
001174,[ 0  0  0  0  0  0  0  0  0 12  0  4  0  0  0  0  0  0  4  0  0],[0 7 0 0 3]
001182,[0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0],[0 1 0 0 0]
001191,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0],[1 0 0 0 0]
001194,[0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
001204,[0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 2 0 2],[0 2 0 0 1]
001205,[0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
001207,[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
001209,[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0],[1 0 0 0 0]
001212,[ 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 24 18  0  0  0  0],[ 0  6  0  0 15]
001214,[0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 4 0 8],[0 4 0 0 6]
001226,[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0],[1 0 0 0 0]
001229,[0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0],[0 2 1 0 0]
001230,[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
001234,[0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 6 0 0 0 0 3],[0 4 0 0 2]
001237,[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
001239,[0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0],[0 3 0 0 0]
001240,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0],[0 2 0 0 1]
001248,[ 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 90  0  0  0  0  0],[ 0  8  1  0 36]
001258,[0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 1 0]
001263,[0 0 0 0 0 0 0 0 0 6 0 3 0 0 0 0 0 0 3 0 0],[0 2 0 0 4]
001268,[0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 1 0 0 0]
001269,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0],[1 0 0 0 0]
001270,[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
001273,[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
001279,[0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 9 0 0 0 0 0],[0 3 1 0 2]
001287,[0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0],[0 1 0 0 0]
001294,[ 0  0  0  0  0  0  0 12  0  0  0  0  0  0  0  0  0  0  0  0  0],[0 0 0 0 6]
001299,[0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0],[0 2 0 0 1]
001304,[0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0],[0 1 0 0 0]
001309,[0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0],[0 1 0 0 0]
001312,[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
001314,[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
001315,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0],[0 1 0 0 0]
001323,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0],[1 0 0 0 0]
001325,[ 0  0  0  0 64  0  0  0  0  0  0  0  0  0  0  8  0  0  0  0  0],[ 0  8  0  0 28]
001326,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0],[1 0 0 0 0]
001327,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0],[1 0 0 0 0]
001332,[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
001333,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 4 0 0 0 0 0],[0 3 0 0 0]
001334,[ 0  0  0  0  0  0  0 20  0  0  0  0  0  0  0  0  0  0  0  0  0],[0 3 0 2 5]
001345,[0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0],[0 2 0 0 1]
001346,[0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0],[0 1 1 0 1]
001348,[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
001364,[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
001365,[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
001378,[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0],[0 1 0 0 0]
001384,[ 0  0  0  0  0  0  0 20  0  0  0  0  0  0  0  0  0  0  0  0  0],[0 4 0 0 6]
001385,[0 0 0 0 0 0 2 4 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 1 0 0 2]
001388,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0],[0 0 0 1 0]
001390,[ 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 16  0  0  4  0  0],[0 2 0 0 8]
001393,[ 0  0  0  0  0 55  0  0  0 11  0 11  0  0  0 55  0  0  0  0  0],[ 0 24  1  0 41]
001395,[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
001402,[0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0],[0 2 0 0 1]
001404,[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
001405,[0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0],[0 1 0 0 0]
001406,[0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 0 2 0 0],[0 1 2 0 0]
001408,[ 0  0  0  0  0 10  0  0  0  0  0  0  0  0  0 15  5  0  0  0  0],[0 7 0 0 8]
001409,[0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 4 0 0 0 0 0],[0 0 0 2 1]
001414,[ 0  0  0  0  0  0  0  5  0  0  0  0  0  0  0 25  0  0  0  0  0],[ 0  3  2  0 10]
001418,[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0],[1 0 0 0 0]
001420,[0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 2 2 0 0 0 0],[0 1 0 0 2]
001421,[0 0 0 0 0 0 0 0 0 3 0 3 0 0 0 6 0 0 0 0 0],[0 4 0 0 2]
001426,[ 0  0  0  0  0  0  0  0  0  0  0  0  0  0  4 16  0  0  0  0  0],[0 3 0 1 6]
001427,[0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0],[0 6 0 0 0]
001434,[0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 6 0 0 0 0 0],[0 1 0 0 5]
001436,[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
001442,[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
001450,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0],[0 1 0 0 0]
001451,[ 0  0  0  0  0 10  0  0  0  0  0  5  0  0  0 10  5  0  0  0  0],[0 6 0 0 9]
001453,[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
001455,[ 0  0  4  0  0  0  0  4  0  0  0  0  0  0  0 12  0  0  0  0  0],[0 3 0 0 7]
001457,[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0],[0 0 0 0 1]
001468,[0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0],[0 2 0 0 1]
001470,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1],[1 0 0 0 0]
001479,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0],[0 1 0 0 0]
001480,[ 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 16  0  0  4  0  0],[0 7 0 1 2]
001483,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0],[0 0 0 0 1]
001485,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 4 0 0 0 0 0],[0 3 0 0 0]
001486,[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
001488,[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
001492,[ 0  0  0  0  0  0  0 20  0  0  0  0  0  0  0  0  0  0  0  0  0],[ 0  0  0  0 10]
001494,[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
001498,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0],[0 1 0 0 0]
001499,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0],[0 1 0 0 2]
001501,[0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0],[0 1 0 0 0]
001504,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0],[0 0 0 0 3]
001512,[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
001515,[0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0],[1 0 0 0 0]
001517,[0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0],[0 0 1 0 0]
001521,[0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 4 0 0 0 0 0],[0 2 0 0 1]
001524,[0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 4 0 0 0 0 0],[0 1 0 0 2]
001526,[ 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 20  0  0  0  0  0],[0 4 0 0 6]
001528,[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
001529,[0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 2 0 2],[0 1 0 0 2]
001532,[ 0  0  0  0  0  0 18 18  0  0  0  0  0  0 27 27  0  0  0  0  0],[ 0  9  0  2 34]
001539,[0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
001548,[0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 2 0 0 0 0 0],[0 1 0 0 2]
001555,[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
001556,[0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0],[0 0 0 0 1]
001557,[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0],[0 0 0 0 1]
001559,[0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 1 0 0 2]
001563,[ 0  0  0  0  0 40  0  0  0 10  0 10  0  0  0 50  0  0  0  0  0],[ 0 16  0  2 37]
001576,[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
001579,[0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0],[0 6 0 0 0]
001580,[ 0  0  0  0  0 10  0  0  0  0  0  0  0  0  0 10  5  0  5  0  0],[0 5 1 0 9]
001586,[0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0],[0 1 0 0 0]
001590,[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1],[0 0 0 0 1]
001593,[ 0  0  0  0  0  0  0  0  0  0  0  6  0  0  0 30  6  0  0  0  0],[ 0 11  0  0 10]
001594,[ 0  0  0  0  0  0  0  0  0  0  0  0  6  0  0  6  0 30  0  0  0],[ 0  5  0  0 16]
001597,[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
001604,[ 0  0  0  0  0  0  0 12  0  0  0  0  0  0  0  0  0  0  0  0  0],[0 3 0 0 3]
001607,[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0],[1 0 0 0 0]
001610,[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
001611,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0],[0 0 1 0 0]
001612,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0],[1 0 0 0 0]
001622,[ 0  0  6  0  0  0  0 18  0  0  0  0  0  0  0 18  0  0  0  0  0],[ 0  4  0  0 17]
001627,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0],[1 0 0 0 0]
001630,[ 0  0 12  0  0  0  0  0  0  0  0  0  0  0  0 30  0  0  0  0  0],[ 0  9  0  0 12]
001633,[0 0 0 0 0 0 0 0 0 4 0 2 0 0 0 0 0 0 0 0 0],[0 3 0 0 0]
001636,[0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
001643,[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0],[0 0 0 1 0]
001649,[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0],[0 1 0 0 0]
001650,[0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 2 0 2],[0 1 0 0 2]
001651,[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0],[0 1 0 0 0]
001654,[ 0  0 60  0  0  0  0 36  0  0  0  0  0  0  0 60  0  0  0  0  0],[ 0 18  0  0 60]
001661,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0],[1 0 0 0 0]
001662,[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
001669,[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
001673,[0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0],[0 1 0 0 0]
001676,[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
001680,[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0],[1 0 0 0 0]
001683,[ 0  0  0  0  0  0  0  0  0 25  0  5  0  0  0  0  0  0  0  0  0],[0 8 0 0 7]
001684,[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
001688,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0],[1 0 0 0 0]
001690,[0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0],[0 0 0 0 1]
001699,[0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0],[0 1 0 0 0]
001707,[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
001708,[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
001711,[ 0  0  0  0  0  0  0  0  0  0  0  0  0  7  0 49  0  0  0  0  0],[ 0  5  0  0 23]
001713,[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
001714,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0],[1 0 0 0 0]
001717,[0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 6 0 0 0 0 3],[0 1 0 0 5]
001721,[ 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 20  0  0  0  0  0],[0 1 0 2 7]
001723,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0],[0 1 0 0 0]
001729,[ 0  0  0  0  0  0  0  0  0  5  0  0  0  0  0 15  5  0  5  0  0],[ 0  5  0  0 10]
001732,[ 0  0  0  0 72  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0],[ 0  6  0  0 30]
001733,[ 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 86  0  0  0],[  0  12   0   0 159]
001734,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0],[1 0 0 0 0]
001738,[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0],[1 0 0 0 0]
001739,[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
001741,[0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 1]
001750,[ 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 72  0  0  0],[ 0  4  0  0 32]
001752,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1],[1 0 0 0 0]
001754,[0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 6 3 0 0 0 0],[0 2 0 0 4]
001758,[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0],[0 1 0 0 0]
001759,[0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 9 0 0 0 0 0],[0 5 0 0 1]
001761,[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
001765,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0],[1 0 0 0 0]
001766,"[  0   0   0   0   0   0   0   0   0   0   0   0   0  48   0 108   0   0
   0   0   0]",[ 0 10  2  0 66]
001768,[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
001777,[ 0  0  0  0  0 12  0  0  0 18  0  6  0  0  0  0  6  0  0  0  0],[ 0 10  0  1 10]
001780,[ 0  0  0  0  0  0  0 16  0  0  0  0  0  0  4  0  0  0  0  0  0],[0 3 0 0 7]
001787,[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
001789,[ 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  8  0  0  0 12  0],[0 3 0 0 7]
001800,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0],[0 1 0 0 0]
001806,[0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 6 0 0 0 0 0],[0 3 0 0 3]
001809,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 2],[0 0 0 1 2]
001810,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1],[0 0 0 0 1]
001821,[0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 1]
001825,[0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0],[0 0 1 0 0]
001828,[0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 4 0 0 0 0 0],[0 3 0 0 0]
001832,[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0],[0 0 0 1 0]
001834,[0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
001836,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0],[0 1 0 0 0]
001840,[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
001841,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0],[1 0 0 0 0]
001843,[0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0],[0 1 1 0 1]
001845,[0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 1 0 0 0]
001853,[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
001854,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0],[0 1 0 0 0]
001858,[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
001861,[0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0],[0 1 0 0 0]
001864,[0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 9 0 0 0 0 0],[0 1 1 0 4]
001870,[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
001881,[ 0  0  0  0  0  0  0 20  0  0  0  0  0  0  0 10  0  0  0  0  0],[ 0  3  0  0 12]
001892,[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
001894,[0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0],[0 1 0 0 0]
001896,[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
001898,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 2],[0 0 0 0 3]
001902,[ 0  0  0  0  0  0  7 21  0  0  0  0  0  0  0 28  0  0  0  0  0],[ 0  2  0  0 26]
001903,[0 0 2 0 0 0 0 0 0 0 0 0 0 0 2 2 0 0 0 0 0],[0 1 0 1 1]
001904,[ 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 30  0  0  0  0  0],[0 7 0 0 8]
001906,[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
001915,[0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 1]
001922,[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
001928,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0],[1 0 0 0 0]
001930,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 4 0],[0 0 0 0 3]
001937,[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
001938,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0],[1 0 0 0 0]
001941,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0],[0 1 0 0 0]
